initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
zz,,,Samedi 4,19h,Le plongeoir,,0 €,sv,Bingo Queer,Cirque Queer,cirque,,,,,,,,,,,,,
zz,,,Jeudi 30,20h,L'Espal,,10 à 15€,sv,On ne fait pas de pacte avec les bêtes,Justine Berthillot & Mosi Espinoza,cirque,,,,,,,,,,,,,
zz,,,Vendredi 31,20h,L'Espal,,10 à 15€,sv,On ne fait pas de pacte avec les bêtes,Justine Berthillot & Mosi Espinoza,cirque,,,,,,,,,,,,,
jb,Rencontre Régionale des Écoles de cirque,,Dimanche 19,20h30,Cirque Mimulus,Fresnay-sur-Sarthe,5 €,sv,,Spectacles des élèves FREC,cirque,,,,,,,,,,,,,
zz,,,Jeudi 2,10h,Le plongeoir,,5 €,sv,Entre les lignes,Cie Lunatic,cirque à partir de 3 ans,,,,,,,,,,,,,
zz,,,Vendredi 3,10h,Le plongeoir,,5 €,sv,Entre les lignes,Cie Lunatic,cirque à partir de 3 ans,,,,,,,,,,,,,
zz,,,Jeudi 2,16h30,EHPAD La reposance,,5 €,sv,Dans les grandes lignes,Cie Lunatic,cirque de 6 mois à 3 ans et +,,,,,,,,,,,,,
zz,,,Vendredi 3,16h30,EHPAD La reposance,,5 €,sv,Dans les grandes lignes,Cie Lunatic,cirque de 6 mois à 3 ans et +,,,,,,,,,,,,,
jlb,,,Vendredi 3,20h30,Comédie Le Mans,,22 €,sv,Le nouveau code de la drague,,Comédie,,,,,,,,,,,,,
zz,,,Vendredi 31,20h,La citadelle des Anges,Teloché,15 ou 25€,sv,La terre,,comédie musicale burlesque,,,,,,,,,,,,,
zz,,,Mardi 21,19h,Salle des concerts,,0 €,c,ballade entre les lignes,,concert flûte & violoncelle,,,,,,,,,,,,,
zz,Les escapades culturelles en Perche Emeraude,,Samedi 18,15h à 22h,,Melleray,0 €,c,,,concerts & arts de rue,,,,,,,,,,,,,
zz,Les rdv de St Lyphard du 23 au 26 mai,,Jeudi 23,15h à 23h,,La Ferté-Bernard,0 €,c,,,concerts & arts de rue,,,,,,,,,,,,,
zz,Les escapades culturelles en Perche Emeraude,,Dimanche 5,10h à 18h30,,Duneau,0 €,c,,,concerts & arts de rue,,,,,,,,,,,,,
jlb,,,Samedi 4,14h,Salle Cattois Roncin,Meurcé,tnc,c,Sharthe's got voice Talent,Les petites mains de Meurce,concours de chant,,,,,,,,,,,,,
jlb,,,Jeudi 23,21h,Comédie Le Mans,,16 €,sv,Réussir sa vie du premier coup,Yves Cusset,conférence humoristique,,,,,,,,,,,,,
jlb,,,Mercredi 22,21h,Comédie Le Mans,,22 €,sv,Process Comedy,,Conférence spectacle,,,,,,,,,,,,,
