initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
ba,,,Vendredi 2,20h,Centre Culturel Athéna,La Ferté-Bernard,17€/14€/8€,sv,Mokaiesh chante Moustaki,Le temps de vivre,musique,,,,,,,,,,,,,
tu,,,Vendredi 2,21h,Chez Marcelle,,0 €,c,,olmek,vinyle,,,,,,,,,,,,,
tu,Superforma,,Vendredi 2,20h,L'Oasis,,23 à 30€,c,,pierre de maere + jean castel,pop,,,,,,,,,,,https://superforma.fr/agenda/pierre-de-maere-jean-castel?fbclid=IwAR18YjYfcZOtuFhOF-5HIcgcEdY4OTX1sOQt7n6PlH4DSZ6N3VSSc756z5M,,
tu,,,Vendredi 2,21h,Le Barouf,,0 €,c,,alright mela,trio Electro Gnawa,,,,,,,,,,,,,
tu,,,Vendredi 2,21h,Le Zoo,,au chapeau,c,,Des mots a mon mouchoir,ch. fr.,,,,,,,,,,,,,
ce,,,Vendredi 23,21h,Blue Zinc,,au chapeau,c,,Lega'si,cover pop,,,,,,,,,,,,,
tu,,,Vendredi 23,20h30,Brasserie Septante Deux,,prix libre,c,,Molto Morbidi,weird pop/le mans,,Sunna Margret,weird pop/islande,,,,,,,,,,
tu,,,Vendredi 23,21h,Chez Marcelle,,0 €,c,,bunzen,"bass music, techno, house italo",,,,,,,,,,,,,
tu,Superforma,,Vendredi 23,l,L'Alambik MJC Ronceray,,complet,c,,TÉTÉ + YSÉ,pop,,,,,,,,,,,,,
tu,,,Vendredi 23,20h,Le Lapin Blanc,,0 €,c,,ELI' JAZZ trio,jazz swing,,,Jam Session,,,,,,,,,,
tu,,,Vendredi 23,20h30,Le Lézard,,prix libre,c,,Malboro bled,free jazz-noise,,mange ferraille,kraut-noise,,,,,,,,,,
tu,,,Vendredi 23,21h,Le Zoo,,au chapeau,c,,Albahaca,reprises Doors,,,,,,,,,,,,,
ce,,,Vendredi 9,21h,Blue Zinc,,au chapeau,c,,Darklub Music,Upgrade project,,,,,,,,,,,,,
tu,,,Vendredi 9,21h,Chez Marcelle,,0 €,c,,alinan,EBM Italo,,,,,,,,,,,,,
tu,Blue Dog Club,techno all night long,Vendredi 9,23h-6h,Club La Suite 72,,tnc,c,,BXTR + KOSZMAR + REIZEN BUNTER,techno club,,,,,,,,,,,,,
tu,Salon de musique Gnaoua,,Vendredi 9,20h,CPFI,,prix libre,c,,"awang (LAHSAN AMRANI, EL MEHDI DEBBAGH & REMMANE ILYAS)",musique gnaoua,,,,,,,,,,,https://www.cpfi-lemans.com/salon-de-musique-gnaoua/,,
