,"festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"CE",,,"Mercredi 22","19h","L'Épicerie sur le Zinc",,"0 €","c",,"Apéro chansons","Scène amateur",,,,,,,,,,
"CE",,,"Mercredi 29","19h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Estel Transon","ch. fr.",,,,,,,"https://www.youtube.com/watch?v=cLjzrJ7sM9Y",,,
"JB",,,"Mercredi 8","19h30","Guinguette de la Gèmerie","Arnage","0 €","c",,"Billy West","pop rock 70's",,,,,,,,,,
"CE",,,"Mercredi 8","19h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Apèro Pop","Scène amateur",,,,,,,,,,
"JB",,,"Samedi 11","21h","Brasserie Septante Deux",,"0 €","c",,"CLM","dj set house disco funk",,,,,,,,,,
"JB",,,"Samedi 18","20h30","Brasserie Septante Deux",,"0 €","c",,"Edda Bel Abysse","synth pop récréative","Fun Fun Funeral","psych pop",,,,,"https://www.youtube.com/watch?v=zceJ1KipUXk","https://www.youtube.com/watch?v=xUtVBokQkN4",,
"JB",,,"Samedi 18","19h30","Guinguette de la Gèmerie","Arnage","0 €","c",,"Stolen","rock",,,,,,,,,,
"JB","Festival Sarth'N'Beer #2","(à partir de 11h, dégustations, échanges puis concert à 20h)","Samedi 18","20h","Le Local à Bières","Arnage","5€ (0€ - 16 ans)","c",,"Concert & dj",,,,,,,,,,,
"MG",,,"Samedi 18","19h","Plaine de jeux","Changé","0 €","c",,"ALBA","pop-rock","+ 1ère partie",,,,,,,,,
"al","Le Bilur'fest #6",,"Samedi 18","19h30","Prairie du chateau","Bouloire","0 €","c",,"Sol'Orkestar","looping balkan","Pouple Friction","rock pouplé","Picon mon amour","chanson sans complexe","jabul gorba","tzigano-balkan",,,,
"JB","Le Boucan Électrique #4",,"Samedi 25","19h","Base de loisirs","Lavaré","au chapeau","c",,"Grise Lise","post rock","Vertical","indie pop","Stuffed foxes","psych shoegaze",,,,,,
"al",,,"Samedi 25","23h30","chapiteau promenade Newton",,"0 €","c",,"Gurl","garage punk",,,,,,,,,,
"JB","Festival Les DéciBeilles #2",,"Samedi 25","20h","Comité des fêtes","Beillé","0 €","c",,"Grizzly","cover blues rock","Dock West","duo rock folk blues","Miss Yakaba & No Name",,,,,,,
"JB",,,"Samedi 25","19h30","Guinguette de la Gèmerie","Arnage","0 €","c",,"Déjanjo","pop rock espagnol",,,,,,,,,,
"JB",,,"Samedi 25","20h","Le Lapin Blanc",,"0 €","c",,"Syl","blues",,,,,,,"https://www.youtube.com/watch?v=yw-EzfpLUjY",,,
"CE",,,"Samedi 25","20h30","L'Épicerie sur le Zinc",,"au chapeau","c",,"Quatuor ACCORDO - Liviu Badiu","mus.class/tsiganes",,,,,,,,,,
"BJL",,,"Samedi 25","20h30","Les Saulnières ","Le Mans","0 €","c",,"Rencontres Jazz Amateurs","Blues/Jazz",,,,,,,,,,
"MG","Fest'Yvré","festival musiques actuelles amateur par Ama Production 72","Samedi 25","19h","Parc Jean du Bellay","Yvré-l'Évêque","0 €","c",,"ALEAA","chanson electro soul","LEAF","electro-pop","NAPKINS","rock approximatif",,,"https://www.youtube.com/watch?v=mtfJ8ZU3UjA","https://www.youtube.com/watch?v=4a7rpR8OIqo",,
